收寄城市,寄达城市,流量
温州,柳州,302
南昌,天津,1738
南昌,西安,2648
鹰潭,郑州,308
福州,济南,1370
福州,湛江,446
泉州,哈尔滨,1496
泉州,呼和浩特,842
泉州,石家庄,1249
泉州,南京,1139
泉州,济南,2267
泉州,武汉,2291
泉州,信阳,771
泉州,南充,622
厦门,汕头,1336
重庆,广州,4622
重庆,呼和浩特,2236
重庆,侯马,638
重庆,徐州,769
重庆,南昌,1647
重庆,襄阳,439
重庆,昆明,3773
重庆,西安,2841
长沙,侯马,1108
长沙,天津,2558
长沙,长春,1798
长沙,常州,1079
长沙,青岛,1733
长沙,襄阳,768
常德,杭州,349
衡阳,石家庄,814
武汉,呼和浩特,2189
武汉,北京,6020
武汉,杭州,3577
荆州,常州,102
武汉,阿克苏,512
郑州,合肥,2955
郑州,杭州,3413
郑州,广州,9500
郑州,西安,6948
郑州,洛阳,2174
洛阳,天津,1244
洛阳,哈尔滨,1394
洛阳,合肥,685
洛阳,南京,598
洛阳,芜湖,248
信阳,信阳,246
郑州,襄阳,1026
汕头,锦州,82
汕头,济南,487
汕头,南充,221
汕头,昆明,419
湛江,武汉,597
湛江,湛江,135
中山,汕头,996
成都,乌鲁木齐,1891
成都,南宁,1513
昆明,中山,496
石家庄,唐山,1017
石家庄,泉州,793
石家庄,扬州,321
石家庄,包头,388
石家庄,宝鸡,280
天津,泉州,290
唐山,廊坊,95
唐山,沈阳,256
唐山,哈尔滨,199
唐山,郑州,170
唐山,信阳,75
唐山,呼和浩特,81
唐山,锦州,53
唐山,临沂,44
唐山,南昌,74
北京,长春,1348
北京,武汉,1271
北京,昆明,955
廊坊,呼和浩特,214
廊坊,大连,159
廊坊,嘉兴,68
廊坊,宝鸡,37
保定,上海,725
保定,重庆,489
保定,蚌埠,249
保定,安庆,121
保定,济宁,298
保定,台州,121
保定,义乌,49
北京,呼和浩特,652
北京,蚌埠,309
北京,芜湖,219
北京,南宁,765
北京,保定,379
北京,大连,391
沈阳,唐山,568
沈阳,杭州,593
沈阳,苏州,596
沈阳,淮安,76
沈阳,芜湖,137
沈阳,泉州,212
长春,廊坊,220
长春,常州,172
长春,蚌埠,167
长春,泉州,154
长春,重庆,292
长春,洛阳,156
哈尔滨,呼和浩特,681
哈尔滨,廊坊,389
哈尔滨,合肥,369
哈尔滨,杭州,869
哈尔滨,嘉兴,256
哈尔滨,厦门,369
哈尔滨,郑州,899
哈尔滨,信阳,300
哈尔滨,贵阳,460
哈尔滨,成都,1021
哈尔滨,兰州,380
南京,泉州,770
南京,衡阳,664
南京,东莞,1024
南京,银川,668
南京,西宁,208
南京,阿克苏,186
南京,深圳,1679
扬州,赣州,133
扬州,海口,354
淮安,上海,1043
淮安,温州,253
淮安,汕头,133
淮安,深圳,255
淮安,东莞,198
常州,泉州,820
常州,重庆,1467
无锡,台州,266
无锡,泉州,227
苏州,鹰潭,146
苏州,重庆,886
苏州,常德,269
徐州,烟台,1002
徐州,赣州,918
徐州,深圳,3504
徐州,内江,237
连云港,保定,167
连云港,淮安,83
连云港,安庆,89
连云港,临沂,178
连云港,台州,117
连云港,荆州,43
连云港,内江,26
连云港,宝鸡,39
淮安,阿克苏,84
淮安,泉州,104
淮安,洛阳,87
淮安,常德,59
盐城,唐山,70
盐城,济宁,137
盐城,成都,419
扬州,包头,117
扬州,淮安,104
扬州,内江,42
扬州,大理州,136
常州,宝鸡,166
常州,西宁,104
合肥,大连,802
合肥,连云港,362
合肥,淮安,238
合肥,潍坊,890
合肥,湖州,370
合肥,温州,1046
合肥,海口,646
安庆,临沂,371
安庆,荆州,143
蚌埠,无锡,541
蚌埠,嘉兴,413
蚌埠,重庆,1297
蚌埠,洛阳,721
蚌埠,湖州,226
芜湖,上海,1601
芜湖,南京,527
芜湖,徐州,387
芜湖,泉州,310
芜湖,长沙,1046
芜湖,深圳,735
芜湖,保定,249
芜湖,银川,397
芜湖,无锡,236
济南,太原,2368
济南,大连,996
济南,长春,2299
济南,上海,4072
济南,苏州,1604
济南,蚌埠,864
济南,杭州,1811
济南,金华,693
济南,南昌,1495
济南,重庆,1852
济南,南通,538
潍坊,深圳,284
潍坊,成都,548
潍坊,保定,157
潍坊,长沙,365
潍坊,洛阳,161
潍坊,中山,206
潍坊,乌鲁木齐,217
潍坊,临沂,193
潍坊,泉州,124
青岛,杭州,483
青岛,广州,993
青岛,贵阳,364
青岛,锦州,188
青岛,金华,196
济宁,上海,1004
济宁,合肥,352
济宁,温州,206
济宁,南昌,410
济宁,衡阳,203
济宁,武汉,755
济宁,东莞,320
济宁,兰州,563
临沂,长春,377
临沂,徐州,210
临沂,福州,274
临沂,泉州,127
临沂,贵阳,449
临沂,兰州,316
济宁,大连,209
济宁,锦州,199
济宁,临沂,245
济宁,泉州,170
临沂,保定,162
临沂,安庆,88
临沂,常德,93
济宁,银川,160
杭州,包头,128
杭州,上海,3155
杭州,深圳,1059
湖州,保定,177
湖州,潍坊,138
湖州,嘉兴,152
湖州,鹰潭,88
湖州,泉州,239
湖州,衡阳,193
湖州,东莞,322
嘉兴,盐城,128
嘉兴,赣州,112
宁波,无锡,613
宁波,东莞,1058
宁波,西宁,113
金华,包头,425
金华,廊坊,677
金华,淮安,557
金华,扬州,845
金华,济宁,1309
金华,深圳,3286
金华,东莞,2750
温州,无锡,402
温州,唐山,206
温州,保定,264
温州,淮安,112
南昌,保定,565
南昌,深圳,2541
南昌,盐城,441
南昌,安庆,531
南昌,义乌,320
鹰潭,重庆,207
鹰潭,长沙,282
鹰潭,衡阳,91
鹰潭,苏州,129
鹰潭,湛江,68
福州,常州,480
福州,金华,504
福州,海口,623
福州,台州,429
福州,乌鲁木齐,529
福州,鹰潭,199
福州,襄阳,263
厦门,石家庄,984
厦门,长春,697
厦门,重庆,999
泉州,海口,1654
泉州,大连,335
泉州,淮安,147
泉州,济宁,447
泉州,湖州,267
厦门,湛江,724
厦门,海口,742
重庆,烟台,475
重庆,扬州,302
重庆,赣州,490
重庆,荆州,227
长沙,南通,733
长沙,湖州,453
长沙,赣州,1135
长沙,西宁,242
常德,包头,54
常德,南昌,245
常德,武汉,387
常德,东莞,248
常德,南宁,274
常德,兰州,94
衡阳,北京,1287
衡阳,青岛,483
衡阳,天津,703
衡阳,徐州,367
衡阳,合肥,575
衡阳,南昌,915
衡阳,台州,241
武汉,济宁,857
荆州,上海,451
荆州,泉州,102
荆州,郑州,220
荆州,东莞,246
荆州,成都,378
荆州,嘉兴,76
武汉,西宁,404
襄阳,南昌,443
襄阳,福州,330
襄阳,泉州,158
襄阳,湛江,97
襄阳,柳州,171
襄阳,成都,625
郑州,廊坊,864
郑州,盐城,774
郑州,宝鸡,488
洛阳,无锡,368
洛阳,济宁,318
洛阳,泉州,412
洛阳,昆明,417
洛阳,包头,134
洛阳,鹰潭,162
洛阳,淮安,112
洛阳,湖州,179
漯河,武汉,1267
漯河,唐山,323
漯河,济宁,381
漯河,杭州,902
漯河,宁波,536
漯河,温州,438
信阳,太原,579
信阳,长春,577
信阳,苏州,434
信阳,济南,965
信阳,天津,696
信阳,贵阳,619
信阳,成都,966
信阳,保定,249
信阳,常州,210
信阳,无锡,205
信阳,金华,226
信阳,温州,236
信阳,武汉,763
信阳,深圳,550
信阳,中山,369
洛阳,义乌,124
信阳,锦州,176
广州,上海,2569
广州,常州,605
广州,蚌埠,575
广州,常德,652
广州,郑州,1950
广州,西宁,510
广州,大连,516
广州,安庆,358
汕头,南京,149
汕头,无锡,83
汕头,苏州,184
汕头,烟台,86
汕头,临沂,111
汕头,衡阳,259
汕头,东莞,639
汕头,大理州,97
广州,鹰潭,310
湛江,呼和浩特,146
湛江,南昌,437
湛江,柳州,223
湛江,大连,97
湛江,无锡,137
湛江,芜湖,91
湛江,安庆,98
湛江,济宁,80
湛江,临沂,100
湛江,台州,123
中山,武汉,1040
中山,昆明,675
中山,保定,226
中山,烟台,161
中山,金华,268
中山,衡阳,355
中山,南充,285
中山,银川,193
贵阳,北京,422
贵阳,杭州,391
贵阳,宁波,251
贵阳,南昌,266
贵阳,武汉,391
贵阳,郑州,314
海口,北京,132
海口,南京,53
海口,武汉,114
海口,东莞,62
成都,哈尔滨,2058
成都,福州,1280
成都,烟台,418
成都,襄阳,379
成都,信阳,787
成都,深圳,1944
昆明,厦门,325
昆明,郑州,460
昆明,西安,558
昆明,临沂,104
昆明,温州,316
昆明,常德,141
西安,天津,2763
西安,汕头,2205
西安,深圳,4893
西安,侯马,1605
西安,漯河,980
沈阳,安庆,111
合肥,阿克苏,140
信阳,湛江,174
呼和浩特,济南,422
呼和浩特,武汉,249
锦州,上海,87
锦州,济南,141
锦州,广州,123
太原,郑州,721
天津,淮安,113
天津,盐城,249
天津,安庆,224
天津,台州,211
天津,常德,173
天津,大理州,148
天津,阿克苏,150
沈阳,赣州,87
哈尔滨,湖州,147
哈尔滨,南充,170
合肥,内江,189
芜湖,荆州,97
芜湖,大理州,97
济南,连云港,336
济南,西宁,242
青岛,芜湖,116
青岛,南宁,130
厦门,连云港,223
厦门,烟台,253
厦门,济宁,258
厦门,银川,328
常德,厦门,119
洛阳,西宁,42
漯河,廊坊,216
漯河,安庆,227
漯河,襄阳,231
信阳,廊坊,127
信阳,临沂,199
信阳,湖州,91
信阳,荆州,57
漯河,淮安,104
信阳,拉萨,28
郑州,喀什,75
中山,西宁,88
中山,阿克苏,119
南宁,呼和浩特,465
南宁,苏州,1008
南宁,宁波,780
南宁,金华,597
南宁,福州,1570
南宁,厦门,972
南宁,重庆,1915
柳州,南昌,158
柳州,成都,335
柳州,西安,160
南充,上海,265
南充,西安,467
南充,青岛,103
大理州,大连,96
大理州,南京,115
大理州,西安,199
西安,扬州,560
西安,蚌埠,755
西安,嘉兴,946
西安,常德,676
西安,宝鸡,820
西安,乌鲁木齐,2593
烟台,济南,848
义乌,温州,3183
西宁,西宁,1155
乌鲁木齐,乌鲁木齐,1825
太原,锦州,161
大连,天津,128
大连,漯河,40
上海,蚌埠,642
上海,合肥,1432
上海,济南,2692
上海,杭州,2555
上海,武汉,2914
烟台,哈尔滨,492
烟台,常州,141
烟台,贵阳,232
临沂,银川,86
义乌,蚌埠,2798
赣州,汕头,382
赣州,南宁,666
常德,漯河,69
荆州,洛阳,71
深圳,呼和浩特,176
深圳,哈尔滨,338
深圳,太原,250
深圳,南京,356
深圳,郑州,440
深圳,南充,210
东莞,南昌,752
东莞,柳州,423
东莞,成都,1328
东莞,昆明,675
南宁,襄阳,309
南充,合肥,100
银川,哈尔滨,92
呼和浩特,徐州,87
呼和浩特,潍坊,90
呼和浩特,烟台,103
呼和浩特,湖州,28
呼和浩特,温州,80
呼和浩特,衡阳,61
呼和浩特,南充,99
呼和浩特,兰州,132
呼和浩特,拉萨,14
包头,石家庄,20
包头,沈阳,36
包头,南京,9
包头,合肥,6
包头,济宁,3
包头,嘉兴,5
包头,汕头,5
包头,大理州,3
包头,银川,33
包头,乌鲁木齐,6
太原,南京,332
太原,徐州,195
太原,福州,357
太原,襄阳,127
太原,柳州,120
侯马,包头,47
侯马,廊坊,58
侯马,大连,81
侯马,青岛,196
侯马,杭州,227
侯马,厦门,117
侯马,泉州,100
唐山,淮安,13
唐山,嘉兴,31
唐山,鹰潭,11
唐山,常德,19
唐山,内江,5
北京,宝鸡,121
沈阳,喀什,17
大连,廊坊,19
大连,无锡,28
大连,泉州,51
大连,武汉,95
大连,中山,48
锦州,包头,38
锦州,扬州,9
锦州,合肥,33
锦州,安庆,10
锦州,潍坊,33
锦州,宁波,32
锦州,鹰潭,5
锦州,福州,32
锦州,重庆,35
锦州,荆州,5
锦州,南充,12
锦州,西宁,6
锦州,拉萨,4
长春,湖州,75
哈尔滨,常德,115
哈尔滨,西宁,80
哈尔滨,拉萨,39
上海,潍坊,678
无锡,深圳,607
连云港,阿克苏,10
潍坊,淮安,40
潍坊,荆州,39
潍坊,阿克苏,39
烟台,无锡,137
烟台,芜湖,77
烟台,赣州,61
烟台,荆州,33
烟台,南宁,105
烟台,喀什,3
青岛,荆州,44
济宁,安庆,123
济宁,昆明,171
临沂,鹰潭,46
临沂,大理州,27
义乌,连云港,1059
义乌,扬州,1031
义乌,烟台,1651
义乌,西宁,124
义乌,乌鲁木齐,442
义乌,喀什,20
鹰潭,连云港,27
鹰潭,淮安,17
鹰潭,喀什,8
赣州,呼和浩特,411
赣州,包头,134
赣州,苏州,420
赣州,淮安,68
赣州,盐城,115
赣州,济宁,184
赣州,鹰潭,124
赣州,东莞,586
赣州,内江,51
赣州,兰州,311
赣州,喀什,15
泉州,内江,103
常德,太原,108
常德,侯马,52
常德,安庆,39
常德,襄阳,61
常德,洛阳,50
衡阳,连云港,116
衡阳,湖州,144
衡阳,阿克苏,78
武汉,喀什,126
荆州,包头,41
荆州,唐山,49
荆州,潍坊,59
荆州,鹰潭,37
襄阳,包头,42
襄阳,义乌,59
襄阳,鹰潭,68
襄阳,荆州,45
漯河,喀什,22
深圳,连云港,94
深圳,泉州,275
深圳,衡阳,278
深圳,宝鸡,32
东莞,苏州,521
东莞,台州,213
东莞,喀什,28
东莞,拉萨,88
湛江,盐城,72
湛江,荆州,47
湛江,乌鲁木齐,66
南宁,唐山,316
南宁,连云港,180
南宁,安庆,326
南宁,嘉兴,396
南宁,赣州,434
南宁,喀什,21
柳州,太原,79
柳州,济宁,25
贵阳,淮安,29
海口,锦州,12
海口,芜湖,18
海口,安庆,17
海口,烟台,17
海口,大理州,17
海口,银川,12
成都,宝鸡,176
成都,喀什,84
南充,锦州,42
南充,无锡,59
南充,淮安,15
南充,安庆,37
南充,荆州,22
内江,锦州,18
内江,长春,62
内江,芜湖,29
内江,安庆,30
内江,潍坊,34
内江,嘉兴,38
内江,台州,37
内江,温州,52
内江,衡阳,49
内江,深圳,140
内江,中山,93
内江,南宁,129
内江,乌鲁木齐,18
昆明,安庆,104
大理州,济宁,29
大理州,荆州,17
大理州,信阳,48
大理州,洛阳,45
大理州,中山,117
宝鸡,保定,87
宝鸡,上海,814
宝鸡,蚌埠,98
宝鸡,嘉兴,100
宝鸡,温州,175
宝鸡,鹰潭,47
宝鸡,武汉,559
宝鸡,深圳,675
兰州,石家庄,119
兰州,大连,71
兰州,哈尔滨,158
兰州,上海,387
兰州,南京,169
兰州,合肥,88
兰州,芜湖,34
兰州,临沂,38
兰州,金华,66
兰州,赣州,32
兰州,湛江,53
兰州,贵阳,101
兰州,大理州,27
银川,大连,21
银川,常州,22
银川,扬州,11
银川,鹰潭,6
银川,汕头,30
西宁,锦州,12
西宁,扬州,8
西宁,青岛,43
西宁,金华,19
西宁,鹰潭,6
西宁,常德,12
西宁,中山,20
西宁,海口,15
西宁,成都,185
西宁,内江,5
西宁,银川,41
乌鲁木齐,太原,93
乌鲁木齐,石家庄,122
乌鲁木齐,南通,55
乌鲁木齐,济南,216
乌鲁木齐,济宁,34
乌鲁木齐,常德,34
乌鲁木齐,内江,23
乌鲁木齐,西宁,57
阿克苏,包头,2
阿克苏,侯马,10
阿克苏,沈阳,26
阿克苏,扬州,4
阿克苏,济宁,5
阿克苏,宁波,12
阿克苏,福州,14
阿克苏,中山,12
阿克苏,贵阳,17
阿克苏,海口,6
阿克苏,宝鸡,6
阿克苏,拉萨,5
喀什,大连,3
喀什,徐州,10
喀什,扬州,1
喀什,烟台,2
喀什,荆州,2
喀什,郑州,16
喀什,漯河,8
喀什,深圳,9
喀什,湛江,1
喀什,柳州,3
喀什,阿克苏,16
拉萨,廊坊,2
拉萨,北京,32
拉萨,无锡,2
拉萨,蚌埠,3
拉萨,宁波,3
拉萨,长沙,28
拉萨,襄阳,3
拉萨,广州,37
拉萨,昆明,28
拉萨,大理州,8
南京,扬州,1007
南京,盐城,1001
南京,南通,1570
苏州,南京,1989
连云港,常州,314
淮安,常州,521
徐州,扬州,870
徐州,常州,2156
徐州,无锡,2006
扬州,无锡,399
扬州,南京,782
南通,淮安,353
南通,连云港,528
济南,济宁,1637
杭州,台州,716
嘉兴,温州,391
温州,嘉兴,498
泉州,福州,4393
郑州,漯河,2775
广州,广州,9630
石家庄,长春,2420
石家庄,侯马,1364
石家庄,哈尔滨,3152
石家庄,济南,3937
石家庄,襄阳,484
天津,哈尔滨,2224
廊坊,天津,615
廊坊,哈尔滨,581
廊坊,徐州,157
廊坊,济南,518
廊坊,福州,236
廊坊,漯河,156
廊坊,昆明,251
廊坊,西安,544
保定,中山,270
保定,青岛,646
保定,兰州,490
保定,南昌,423
沈阳,徐州,429
沈阳,郑州,785
沈阳,洛阳,217
沈阳,昆明,393
长春,天津,1221
长春,北京,1939
长春,郑州,617
南京,沈阳,2295
南京,天津,1961
南京,襄阳,456
扬州,中山,345
扬州,贵阳,642
无锡,武汉,1102
无锡,贵阳,476
无锡,北京,1371
无锡,郑州,915
无锡,洛阳,294
无锡,中山,332
无锡,湛江,148
无锡,南充,203
苏州,宁波,1029
苏州,石家庄,947
苏州,芜湖,430
苏州,郑州,1246
苏州,银川,371
苏州,西宁,180
苏州,乌鲁木齐,873
徐州,天津,3802
徐州,哈尔滨,3249
徐州,沈阳,4214
徐州,汕头,1807
连云港,沈阳,650
连云港,芜湖,108
连云港,济南,756
连云港,杭州,353
连云港,福州,342
连云港,漯河,262
连云港,海口,270
连云港,成都,590
淮安,杭州,507
徐州,蚌埠,1932
徐州,襄阳,865
盐城,锦州,59
盐城,常州,348
盐城,贵阳,233
盐城,沈阳,344
盐城,青岛,339
盐城,武汉,393
扬州,哈尔滨,568
扬州,侯马,211
扬州,青岛,433
常州,西安,2433
常州,太原,1500
常州,蚌埠,941
南通,锦州,337
南通,侯马,413
南通,合肥,1612
南通,厦门,949
南通,郑州,1938
南通,信阳,796
南通,广州,4284
南通,贵阳,1117
合肥,锦州,612
合肥,太原,2271
合肥,常州,972
合肥,济南,3893
合肥,郑州,3559
安庆,天津,1237
安庆,常州,651
安庆,济南,1852
安庆,青岛,872
安庆,襄阳,291
安庆,中山,932
安庆,成都,2050
蚌埠,石家庄,1694
蚌埠,武汉,2145
蚌埠,信阳,1099
蚌埠,柳州,718
南京,昆明,1429
芜湖,南昌,789
安庆,鹰潭,213
济南,锦州,878
济南,青岛,3347
杭州,锦州,222
杭州,沈阳,1236
杭州,侯马,455
杭州,徐州,818
杭州,芜湖,354
杭州,安庆,303
杭州,青岛,822
杭州,武汉,1530
杭州,西安,1526
湖州,哈尔滨,504
湖州,福州,401
湖州,武汉,522
湖州,湛江,236
湖州,贵阳,999
嘉兴,常州,232
嘉兴,厦门,239
嘉兴,乌鲁木齐,289
宁波,锦州,277
宁波,常州,669
宁波,青岛,1113
宁波,鹰潭,238
宁波,南宁,1561
宁波,南充,557
宁波,银川,463
台州,呼和浩特,336
台州,济南,1667
台州,昆明,954
金华,沈阳,4329
金华,北京,5881
金华,徐州,2944
金华,合肥,3904
金华,南昌,3580
金华,襄阳,856
金华,漯河,2167
金华,银川,1090
金华,大理州,627
温州,天津,702
温州,北京,791
温州,长沙,1267
温州,南充,285
温州,西安,1041
温州,锦州,136
温州,芜湖,263
南昌,石家庄,1688
南昌,郑州,2366
南昌,南宁,1990
南昌,武汉,3257
鹰潭,石家庄,232
福州,汕头,893
福州,南昌,1298
泉州,太原,1111
泉州,北京,2291
泉州,徐州,860
泉州,常州,610
泉州,漯河,680
泉州,成都,3006
重庆,北京,3157
重庆,常州,672
重庆,济南,2083
重庆,衡阳,933
重庆,武汉,2792
重庆,南宁,2563
重庆,大理州,611
重庆,兰州,1389
长沙,银川,1129
长沙,徐州,1483
长沙,柳州,1661
衡阳,广州,3586
衡阳,贵阳,1448
武汉,广州,10898
武汉,常州,1385
武汉,长沙,7184
武汉,郑州,4903
武汉,漯河,1811
武汉,贵阳,3660
郑州,天津,4605
郑州,济南,7210
郑州,中山,2497
郑州,北京,8367
洛阳,济南,1808
洛阳,广州,2636
洛阳,信阳,682
洛阳,沈阳,1517
洛阳,徐州,579
洛阳,厦门,573
洛阳,汕头,576
漯河,锦州,330
漯河,广州,2098
郑州,沈阳,5593
郑州,长春,4236
郑州,长沙,5385
郑州,兰州,2446
广州,锦州,396
广州,昆明,2155
广州,乌鲁木齐,3473
广州,阿克苏,831
汕头,侯马,175
汕头,石家庄,330
汕头,北京,443
汕头,金华,125
汕头,武汉,550
汕头,郑州,404
汕头,信阳,199
贵阳,广州,1032
成都,合肥,1067
昆明,成都,1668
石家庄,苏州,1468
石家庄,济宁,728
石家庄,南通,549
石家庄,台州,498
石家庄,连云港,327
天津,唐山,684
天津,大连,635
天津,合肥,685
天津,蚌埠,442
天津,宁波,444
天津,温州,363
天津,漯河,666
天津,东莞,479
天津,湛江,230
天津,成都,1557
唐山,上海,148
唐山,济南,220
唐山,杭州,98
唐山,厦门,54
唐山,长沙,99
唐山,中山,49
北京,上海,1568
北京,天津,1679
北京,长沙,1217
北京,郑州,1463
廊坊,上海,332
廊坊,烟台,112
廊坊,长沙,396
廊坊,常德,80
廊坊,衡阳,111
保定,南通,137
保定,温州,197
保定,衡阳,206
保定,扬州,69
保定,荆州,58
北京,深圳,740
北京,唐山,375
沈阳,济宁,250
沈阳,湖州,104
沈阳,襄阳,90
沈阳,海口,283
长春,唐山,360
长春,大连,685
长春,南宁,302
哈尔滨,侯马,426
哈尔滨,石家庄,998
哈尔滨,保定,454
哈尔滨,南京,524
哈尔滨,东莞,400
哈尔滨,海口,406
哈尔滨,昆明,583
哈尔滨,银川,278
南京,大连,573
南京,上海,6291
南京,临沂,528
南京,台州,723
扬州,盐城,221
扬州,潍坊,172
淮安,青岛,165
常州,台州,528
常州,昆明,1166
无锡,大理州,87
苏州,东莞,621
苏州,保定,316
苏州,临沂,307
徐州,嘉兴,1019
徐州,衡阳,1416
连云港,济宁,168
连云港,温州,179
连云港,鹰潭,52
淮安,银川,108
淮安,蚌埠,165
盐城,太原,195
盐城,深圳,299
盐城,南充,97
盐城,大理州,46
常州,拉萨,93
南通,包头,251
南通,上海,5467
南通,济宁,400
南通,义乌,281
南通,荆州,168
合肥,烟台,748
合肥,衡阳,984
合肥,深圳,2316
安庆,廊坊,230
安庆,常德,319
蚌埠,唐山,469
蚌埠,保定,528
蚌埠,上海,2676
蚌埠,苏州,1143
蚌埠,临沂,530
蚌埠,台州,386
蚌埠,泉州,652
蚌埠,东莞,1096
蚌埠,盐城,327
蚌埠,义乌,160
芜湖,长春,568
芜湖,天津,752
芜湖,漯河,361
芜湖,大连,265
芜湖,南充,314
安庆,深圳,1237
济南,侯马,1220
济南,合肥,1517
济南,兰州,2274
济南,泉州,690
潍坊,杭州,355
潍坊,东莞,198
潍坊,银川,165
潍坊,无锡,155
潍坊,合肥,243
潍坊,金华,134
青岛,长春,474
青岛,福州,360
青岛,深圳,398
青岛,蚌埠,196
青岛,泉州,148
青岛,洛阳,192
青岛,海口,135
济宁,石家庄,589
济宁,苏州,369
济宁,中山,300
临沂,金华,126
临沂,成都,600
临沂,大连,134
杭州,无锡,555
杭州,连云港,224
杭州,淮安,151
杭州,南通,404
杭州,潍坊,399
杭州,济宁,373
杭州,义乌,308
杭州,赣州,267
杭州,重庆,825
杭州,拉萨,92
湖州,扬州,65
湖州,临沂,154
湖州,义乌,77
湖州,重庆,398
嘉兴,唐山,96
嘉兴,保定,118
嘉兴,连云港,90
嘉兴,泉州,175
宁波,临沂,514
宁波,常德,419
宁波,深圳,1401
宁波,义乌,329
宁波,喀什,27
台州,潍坊,366
台州,重庆,734
金华,赣州,965
金华,重庆,2757
金华,常德,884
金华,西宁,293
金华,拉萨,223
温州,苏州,849
温州,重庆,622
温州,大连,179
温州,盐城,232
温州,临沂,259
温州,拉萨,55
南昌,厦门,1359
南昌,南充,796
南昌,大连,397
南昌,连云港,308
南昌,常德,541
鹰潭,锦州,62
鹰潭,长春,187
鹰潭,天津,219
鹰潭,泉州,99
鹰潭,武汉,290
鹰潭,唐山,61
鹰潭,潍坊,66
鹰潭,汕头,107
福州,苏州,875
福州,宁波,745
福州,太原,776
福州,衡阳,532
福州,成都,1782
福州,蚌埠,453
福州,烟台,292
福州,临沂,262
福州,南通,335
福州,湖州,204
厦门,太原,783
厦门,北京,1878
厦门,南宁,1188
泉州,南通,434
泉州,廊坊,220
泉州,连云港,248
泉州,义乌,210
泉州,西宁,242
厦门,蚌埠,598
厦门,台州,513
厦门,柳州,447
厦门,南充,480
厦门,嘉兴,519
重庆,上海,2949
重庆,南通,469
重庆,拉萨,120
长沙,无锡,959
长沙,芜湖,686
长沙,济宁,714
长沙,喀什,79
长沙,义乌,457
常德,无锡,126
衡阳,太原,637
衡阳,保定,239
衡阳,柳州,499
衡阳,大理州,329
武汉,大连,1044
武汉,连云港,474
武汉,荆州,875
荆州,南京,169
荆州,宁波,150
荆州,厦门,146
荆州,汕头,154
荆州,贵阳,208
荆州,昆明,182
荆州,信阳,107
荆州,衡阳,106
荆州,漯河,94
襄阳,太原,509
